linkage,k,silhouette,calinski_harabasz,davies_bouldin
complete,2,0.5117658153942188,149.60830283967874,0.6375903317121988
complete,3,0.4997985400018643,229.91704862195388,0.6281263129062219
single,2,0.49476824872230113,37.95553004731262,0.42293297712380673
ward,3,0.4706474527883408,175.35502863240202,0.5698070162419511
ward,2,0.4543613428941806,107.95492313131709,0.649383904102815
complete,4,0.4356123796040947,205.79615194026977,0.6389984890824524
complete,9,0.4202359375667868,284.7413641469341,0.6869222907427042
complete,10,0.4171684477251147,277.6542685406287,0.7005700592867548
ward,8,0.4082021434518664,249.36244215668,0.7120987552864355
complete,5,0.4061212930432971,208.60142767037954,0.5988633078199974
ward,9,0.4058166424833564,264.74173150281337,0.7442025560460575
ward,7,0.39702817639746163,246.56487429673632,0.6995651854603461
complete,8,0.3940515376001664,251.5369213691934,0.6956357224451306
complete,6,0.3933385426243685,262.369162489199,0.7507402930734828
ward,10,0.3904761424577376,265.85952838676025,0.7871954292852175
complete,7,0.3832771707635282,235.15241129053888,0.7352068323102126
ward,6,0.3781860843134983,241.19001903463,0.736601907994356
ward,5,0.3702717747968112,218.3477273948489,0.8135760236402424
ward,4,0.3663175878115479,207.29395007018172,0.7568252153126429
single,3,0.3599033950081281,19.019535905486315,0.3885201625237736
single,5,0.3008553085623946,46.109287456293146,0.39223994578081567
single,6,0.294708442428045,39.65752200073512,0.38358579226665235
single,7,0.2647789686468955,33.281044559658596,0.5224537046031752
single,8,0.25545549908841997,28.36392089187155,0.5026253196809556
single,9,0.24877943630224256,24.653317438709596,0.4160913296713996
single,10,0.2371882740090467,21.822520282368046,0.4989966020445891
single,4,0.2337117641671616,16.23592667611619,0.35929620502617127
